## Mobs Passivos e Neutros (Animais, etc.)

| Mob              | Vida     | Dano    | Velocidade | Knockback | Resistance | Armor   | Follow Range | Tamanho    |
|------------------|----------|---------|------------|-----------|------------|---------|--------------|------------|
| Allay           | 4-8     | 1-2    | 8-12      | 0.1-0.3  | 0-0.1     | 0-1    | 32-48       | 0.05-0.10 |
| Armadillo       | 8-15    | 1-3    | 2-4       | 0.2-0.4  | 0.2-0.4   | 8-15   | 16-24       | 0.15-0.25 |
| Axolotl         | 6-10    | 1-2    | 3-6       | 0.1-0.2  | 0-0.1     | 0-2    | 16-24       | 0.04-0.08 |
| Bat             | 3-6     | 0.5-1.5| 6-10      | 0.1-0.2  | 0-0.1     | 0      | 16-24       | 0.04-0.06 |
| Bee             | 3-6     | 1-2    | 4-7       | 0.1-0.2  | 0-0.1     | 0      | 12-20       | 0.009-0.016 |
| Camel           | 20-32   | 3-5    | 3-5       | 0.5-0.7  | 0.2-0.4   | 0-2    | 20-32       | 1.8-2.1  |
| Cat             | 6-12    | 1.5-3  | 4-6       | 0.2-0.3  | 0.1-0.2   | 0      | 16-24       | 0.23-0.28 |
| Chicken         | 4-8     | 1-2    | 2-4       | 0.1-0.2  | 0-0.1     | 0      | 16-24       | 0.35-0.45 |
| Cod             | 3-6     | 0-1    | 3-6       | 0.1-0.2  | 0         | 0-1    | 16-24       | 0.10-0.20 |
| Cow             | 16-24   | 3-4    | 2-4       | 0.4-0.6  | 0.1-0.2   | 0      | 20-32       | 1.4-1.6  |
| Dolphin         | 5-10    | 2-3    | 6-10      | 0.2-0.4  | 0-0.1     | 0      | 16-24       | 0.50-0.70 |
| Donkey          | 15-25   | 2-4    | 3-5       | 0.4-0.6  | 0.1-0.3   | 2-4    | 20-32       | 1.1-1.4  |
| Fox             | 5-10    | 1.5-3  | 4-7       | 0.2-0.4  | 0.1-0.2   | 0      | 16-24       | 0.35-0.45 |
| Frog            | 6-10    | 1-2    | 3-5       | 0.1-0.3  | 0         | 0-1    | 16-24       | 0.08-0.12 |
| Glow Squid      | 5-10    | 1-2    | 3-6       | 0.1-0.2  | 0         | 0-2    | 16-24       | 0.30-0.50 |
| Goat            | 10-20   | 2-4    | 3-6       | 0.4-0.6  | 0.2-0.3   | 0      | 20-32       | 0.70-0.90 |
